original_relpath,preview_relpath,orig_w,orig_h,orig_size_kb,prev_w,prev_h,prev_size_kb,saved_pct,status
paintings-2024\fragments-of-memory\part-9.jpg,paintings-2024\fragments-of-memory\preview\part-9.webp,1140,820,121.11,800,575,48.75,59.75,SKIPPED_UP_TO_DATE
photograph-videos-2026\covers\animism.jpg,photograph-videos-2026\covers\preview\animism.webp,7680,4320,6289.53,2000,1125,279.32,95.56,SKIPPED_UP_TO_DATE
photograph-videos-2026\covers\embodied-memories-of-weishan.jpg,photograph-videos-2026\covers\preview\embodied-memories-of-weishan.webp,2275,1279,354.5,1200,675,66.5,81.24,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-1.jpg,photograph-videos-2026\photograph\preview\animism-1.webp,3840,2160,1039.56,2000,1125,104.54,89.94,SKIPPED_UP_TO_DATE
paintings-2024\non-dualism\main-1.jpg,paintings-2024\non-dualism\preview\main-1.webp,7008,4672,12169.71,2000,1333,270.14,97.78,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-10.jpg,photograph-videos-2026\photograph\preview\animism-10.webp,7680,4320,8193.49,2000,1125,331.15,95.96,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-11.jpg,photograph-videos-2026\photograph\preview\animism-11.webp,7680,4320,5787.57,2000,1125,218.71,96.22,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-12.jpg,photograph-videos-2026\photograph\preview\animism-12.webp,7680,4320,5917.95,2000,1125,145.89,97.53,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-13.jpg,photograph-videos-2026\photograph\preview\animism-13.webp,7680,4320,9705.89,2000,1125,405.2,95.83,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-14.jpg,photograph-videos-2026\photograph\preview\animism-14.webp,7680,4320,7575.87,2000,1125,261.02,96.55,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-16.jpg,photograph-videos-2026\photograph\preview\animism-16.webp,7680,4320,5523.53,2000,1125,200.83,96.36,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-15.jpg,photograph-videos-2026\photograph\preview\animism-15.webp,7680,4320,4799.77,2000,1125,148.17,96.91,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-17.jpg,photograph-videos-2026\photograph\preview\animism-17.webp,7680,4320,6289.53,2000,1125,279.32,95.56,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-19.jpg,photograph-videos-2026\photograph\preview\animism-19.webp,7680,4320,11300.78,2000,1125,552.47,95.11,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-18.jpg,photograph-videos-2026\photograph\preview\animism-18.webp,7680,4320,5635.12,2000,1125,237.26,95.79,SKIPPED_UP_TO_DATE
photograph-videos-2026\photograph\animism-20.jpg,photograph-videos-2026\photograph\preview\animism-20.webp,7680,4320,8032.27,2000,1125,426.92,94.68,SKIPPED_UP_TO_DATE
